,ID,Date,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Community Areas,Wards
0,11729959,06/20/2019 11:45:00 PM,013XX W 110TH PL,BATTERY,SIDEWALK,FALSE,FALSE,2234,22,34,75,,,2019,06/27/2019 4:09:07 PM,,,,
2,11729969,06/20/2019 11:42:00 PM,063XX S FAIRFIELD AVE,BATTERY,RESIDENCE,TRUE,TRUE,825,8,17,66,,,2019,06/27/2019 4:09:07 PM,,,,
3,11730033,06/20/2019 11:42:00 PM,060XX S LOOMIS BLVD,BATTERY,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,713,7,16,67,,,2019,06/27/2019 4:09:07 PM,,,,
5,11729988,06/20/2019 11:35:00 PM,0000X E CHESTNUT ST,THEFT,SIDEWALK,FALSE,FALSE,1833,18,42,8,,,2019,06/27/2019 4:09:07 PM,,,,
7,11729905,06/20/2019 11:30:00 PM,074XX S MORGAN ST,BATTERY,RESIDENCE,FALSE,FALSE,733,7,17,68,,,2019,06/27/2019 4:09:07 PM,,,,
13,11730017,06/20/2019 11:15:00 PM,057XX S WOLCOTT AVE,BATTERY,RESIDENCE,FALSE,FALSE,715,7,15,67,,,2019,06/27/2019 4:09:07 PM,,,,
15,11729920,06/20/2019 11:05:00 PM,072XX S FRANCISCO AVE,BATTERY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,831,8,18,66,,,2019,06/27/2019 4:09:07 PM,,,,
18,11730398,06/20/2019 11:00:00 PM,003XX W GARFIELD BLVD,THEFT,CTA TRAIN,FALSE,FALSE,935,9,3,37,,,2019,06/27/2019 4:09:07 PM,,,,
19,11730062,06/20/2019 11:00:00 PM,028XX W ARTHINGTON ST,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,1135,11,28,27,,,2019,06/27/2019 4:09:07 PM,,,,
20,11729983,06/20/2019 11:00:00 PM,003XX S CICERO AVE,BATTERY,SIDEWALK,FALSE,FALSE,1533,15,28,25,,,2019,06/27/2019 4:09:07 PM,,,,
21,11735227,06/20/2019 11:00:00 PM,044XX N KILBOURN AVE,THEFT,RESIDENCE,FALSE,FALSE,1722,17,39,16,,,2019,06/27/2019 4:09:07 PM,,,,
